EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
660656703,CHURCH UNIVERSAL & TRIUMPHANT,% CARMEN MARRERO,PO BOX 19386,SAN JUAN,PR,00910-1386,2669,03,9,7000,197511,1,10,001002029,5,01,,0,0,06,0,12,,,,,SUMMIT LIGHTHOUSE OF SAN JUAN
660657150,CORPORATION FOR THE CONSERVATION OF THE SAN JUAN BAY ESTUARY,% JAVIER LAUREANO,PO BOX 9509,SAN JUAN,PR,00908-0509,0000,03,3,1280,200607,1,15,000000000,1,01,201912,5,6,01,0,12,623720,1096188,1096188,C30,
660657510,FUNDACION FORJADORES DE ESPERANZA INC,% MELANIE GRANDONE,PO BOX 1638,CANOVANAS,PR,00729-1638,0000,03,3,1000,200602,1,15,000000000,1,01,201912,3,3,02,0,12,34805,44410,44060,P20,
660657632,HOGAR DE ENVEJECIENTES CIRIACO SANCHZ,% JOSEFINA VASQUEZ,PO BOX 1780,MOCA,PR,00676-1780,0000,03,3,1000,201410,1,16,000000000,1,01,201912,4,5,01,0,12,202044,526270,526270,L22,
660657785,UNITY LUZ DEL ESTE,% AIDA L MARTIN,HC 2 BOX 4269,LUQUILLO,PR,00773-9861,2062,03,9,2700,197002,1,10,000000000,5,01,,0,0,06,0,12,,,,,
660658151,INTERNATIONAL UNION UNITED AUTO LOCAL 2415,% LUIS SANTIAGO,3100 CARR 190 STE 201,CAROLINA,PR,00983-1983,0000,05,3,3000,201910,0,00,263000000,5,01,201912,0,0,02,0,12,0,0,0,,
660658654,NATURAL HISTORY SOCIETY OF PUERTO RICO INC,,PO BOX 361036,SAN JUAN,PR,00936-1036,0000,03,3,2000,200703,1,15,000000000,1,01,201912,2,1,02,0,12,19405,515,515,A80,
660659168,CENTER FOR DIABETES CONTROL CORP,% EFRAIN RODRIGUEZ,PO BOX 313,CAROLINA,PR,00986-0313,0000,03,3,8000,201104,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,H80,
660660337,VICTORIOUS BELIEVERS MINISTRIES INC,% REGINALD PERRY,6215 PETERS REST,CHRISTIANSTED,VI,00820-0000,0000,03,3,7000,201402,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
660661300,ACUEDUCTO RURAL SECTOR LA RIVIERA BO,% JUAN A SANTANA PRES,CARR 811 KM 4 SECTOR LA RIVIERA,COROZAL,PR,00783-0000,0000,03,3,1000,202005,1,03,000000000,1,01,,0,0,00,1,12,,,,W80,PALOS BLANCOS DE COROZAL CORP
660662610,POLITECNICO TERESIANO HERMANAS CARMELITAS TERESAS DE SAN JOSE INC,% INES PENA PEREZ,PO BOX 868,CANOVANAS,PR,00729-0868,0000,03,3,1270,201606,1,10,000000000,1,01,,0,0,06,0,06,,,,X20,
660662673,CONFRERIE DE LA CHAINE DES ROTTISEURS LTD,% MR DAVID GOLDBERG,PO BOX 8045,ST THOMAS,VI,00801-1045,9261,07,9,1000,199412,2,00,319000000,1,01,201906,0,0,02,0,06,0,0,0,,BAILLIAGE DES ILES VIERGE CHAINE
660663235,PUERTO RICO WETLAND FOUNDATION INC,% JUAN F WOODROFFE,GA5 CALLE CORTIJO ALTO,GUAYNABO,PR,00966-2918,0000,03,3,1000,200702,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,C32,
660663242,APRODEC INC,% MANUEL MARTINEZ COLON,PO BOX 977,CEIBA,PR,00735-0977,0000,03,3,1280,201612,1,16,000000000,1,01,201909,0,0,02,0,09,0,0,0,S20,
660663265,FUNDACION MMM INC,% JULIO GRACIA,350 CHARDON AVE STE 500 TORRE CHARD,SAN JUAN,PR,00918-2137,0000,03,3,1000,201605,1,15,000000000,1,01,201812,4,4,01,0,12,214308,209735,209735,P81,
660664098,MINISTERIO EVANGELISTICO ELES INC,% JEREMIAS MARTINEZ,PO BOX 302213,CHARLOTTE AMA,VI,00803-2213,0000,03,3,7000,200610,1,10,000000000,1,01,201612,0,0,06,0,12,0,0,0,X21,ELES
660664498,MONTESSORI HOUSE OF CHILDREN INC,% SYLVIA M SULLIVAN,3013 ORANGE GROVE,CHRISTIANSTED,VI,00820-0000,0000,03,3,1200,200610,1,11,000000000,1,01,201807,4,5,01,0,07,398481,676513,676513,B24,ST CROIX MONTESSORI
660664562,MARIANA ISLANDS NATURE ALLIANCE,,PO BOX 506645,SAIPAN,MP,96950-4340,0000,03,3,1000,200608,1,15,000000000,1,01,201812,4,4,01,0,12,155288,383664,383664,C32,
660665458,IGLESIA EL REINO DE LA FE,% JOSE A MALDONADO,PO BOX 1895,HATILLO,PR,00659-8895,2046,03,9,7000,196911,1,10,001000000,5,01,,0,0,06,0,12,,,,,
660665758,IGLESIA CAMINO AL ALTISIMO INC,% CARMEN L QUINONES,URB FAJARDO GARDENS CALLE CEDRO 395,FAJARDO,PR,00738-0000,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,03,,,,,
660665856,US GREEN BUILDING COUNCIL CARIBBEAN CHAPTER,% FERNANDO ABRUNA,5 AVENIDA APOLO,GUAYNABO,PR,00969-0000,0000,03,3,2000,200801,1,15,000000000,1,01,201712,0,0,02,0,12,0,0,0,C35,
660666623,OH MY MAYA INC,% ROBIN FREEMAN,5029 GREEN CAY,CHRISTIANSTED,VI,00820-4558,0000,03,3,1000,200809,1,16,000000000,1,01,201912,0,0,02,0,12,0,0,0,Q33,
660666815,CENTRO INTERDICIPLINARIO PARA REHABILITACION INC,% ADALBERTO LOPEZ TORRES,107 CALLE CRUZ STELLA,HUMACAO,PR,00791-0000,0000,03,3,1200,200703,1,15,000000000,1,01,201806,0,0,02,0,06,0,0,0,F20,
660666858,ENACTUS PUERTO RICO INC,,PO BOX 2521,GUAYNABO,PR,00970-2521,0000,03,3,1200,201903,1,15,000000000,1,01,,0,0,01,0,08,,,,B90,
660669513,CRUSADERS FRATERNITY INC,,FREDRIKSTED 00841,BRITISH VIRGIN ISLANDS,,00000-0000,0000,03,3,1230,201812,1,15,000000000,1,01,202012,0,0,02,0,12,0,0,0,O51,
660669750,HOUSE OF PRAYER MINISTRY INC,% JOSEPH A R CASEY,4002 LITTLE PRINCESS,CHRISTIANSTED,VI,00820-4354,0000,03,3,7000,200703,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
660670212,CHABAD LUBAVITCH OF THE U S VIRGIN ISLANDS INC,% ASHER FEDERMAN,6501 RED HOOK PLAZA STE 201,ST THOMAS,VI,00802-1305,0000,03,3,7000,200904,1,10,000000000,1,01,,0,0,06,0,12,,,,X30,
660670407,FINEST PAN FEST INC,% STANLEY S JONES,CHRISTIANSTED ST CROIX 00821,BRITISH VIRGIN ISLANDS,,00000-0000,0000,03,3,2100,200807,2,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,A68,
660670521,DIVINE CHILDREN,% SUSAN RIVERA,DORADO DEL MAR G 22 CALLE AZULES D,DORADO,PR,00646-0000,0000,03,3,1200,201105,1,11,000000000,1,01,201912,0,0,02,0,12,0,0,0,B28,
660670714,CENTRO DE AYUDA FAMILIAR Y SOCIAL EL SALVADOR,% INGRID GARCIA,PO BOX 4056,VEGA BAJA,PR,00694-4056,0000,03,3,1000,201206,1,15,000000000,1,01,201712,0,0,02,0,12,0,0,0,P40,
660670718,FUNDACION EDUCATIVA HIMA SAN PABLO INC,% JOAQUIN RODRIGUEZ,PO BOX 4980,CAGUAS,PR,00726-4980,0000,03,3,2000,201906,1,04,000000000,1,01,201912,5,5,00,1,12,688206,656478,,B82,
660670869,FUNDACION CARITAS ALEGRES INC,% FRANCISCO COLON,PMB 143 1353 RD 19,GUAYNABO,PR,00966-0000,0000,03,3,1000,201805,1,15,000000000,1,01,,0,0,02,0,12,,,,P20,
660671421,CORPORACION DE SALUD ASEGURADA POR NUESTRA ORGANIZACION SOLIDARIA INC,,PO BOX 1025,CAGUAS,PR,00726-1025,0000,03,3,1000,200904,1,12,000000000,1,01,201906,6,8,01,0,06,4359677,16919633,16770160,E20,SANOS
660671488,MICRONESIAN SHARK FOUNDATION,,KOROR 96940,POLAND,,00000-0000,0000,03,3,1200,200707,1,15,000000000,1,01,201912,4,3,02,0,12,217522,41418,41418,D31,
660672254,ORGANIZACION PRO AMBIENTE SUSTENTABLE INC,% MAYLENE PEREZ,PO BOX 9300845,SAN JUAN,PR,00928-6245,0000,03,3,1200,201507,1,16,000000000,1,01,201812,3,4,01,0,12,57257,144222,144222,C30,
660672650,FUND DE COMBATIENTES DE CACER DE SENO INC,% CARMEN A MARTINEZ,PO BOX 372350,CAYEY,PR,00737-2350,0000,03,3,1200,201707,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,G30,
660672679,UNITED STEELWORKERS,% C LAWRENCIA RICHARDS,PO BOX 302095,ST THOMAS,VI,00803-2095,0260,05,9,3000,194012,2,00,263059269,5,01,201812,4,3,01,0,12,226430,56273,56273,,9488 LOCAL
660672689,CORPORACION PARA EL DESARROLLO DEL CENTRO PONCENO DE AUTISMO CD,% CEPA,120 CALLE SOL,PONCE,PR,00730-4881,0000,03,3,1000,201404,0,15,000000000,1,01,201406,1,0,14,0,06,1,0,0,,CEPA CD
660673047,CASA DE RESTAURACION TABENACULO DE ADOR,,HC-01 BOX 6959,GUAYNABO,PR,00971-0000,2046,03,9,7000,196911,1,10,001000000,5,01,,0,0,06,0,12,,,,,
660673296,THE CAT ALLIANCE INC,% CANDIDA M MEDINA,RR 2 BOX 4154,TOA ALTA,PR,00953-7012,0000,03,3,1400,201905,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,D20,
660673438,GUAM EVANGELICAL HOLINESS CHURCH,% CESARIO MANGSAT,111 CHALAN BALAKO PMB 661,DEDEDO,GU,96929-7103,0000,03,3,7000,200711,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
660673931,AMIGOS DE LOS ANIMALES INC,% CHRISTINE E DRISCOLL,HC 2 BOX 7622,LOIZA,PR,00772-9659,0000,03,3,4000,201403,1,15,000000000,1,01,201812,2,4,01,0,12,23012,100378,100378,D20,
660674383,POETAS AA-JUANA DIAZ INC,% JAIME TORRES,PO BOX 804,JUANA DIAZ,PR,00795-0804,0000,03,3,2100,200708,1,15,000000000,1,01,,1,4,00,0,12,,,,N70,
660674789,THE SAINT CROIX GOLF ASSOCIATION,% SAINT CROIX GOLF ASSOCIATION,PO BOX 3506,KINGSHILL,VI,00851-3506,0000,04,3,3000,200705,2,00,000000000,5,01,201912,0,0,02,0,12,0,0,0,N6A,
660674861,LA CASA DE DONA HERE INC,% ESTHER CARO,PO BOX 1962,MAYAGUEZ,PR,00681-1962,0000,03,3,1000,200701,1,15,000000000,1,01,201806,5,3,01,0,06,724694,64657,64657,L800,
660674864,LA CASA JUNNY,% ESTHER CARO,PO BOX 1881,MAYAGUEZ,PR,00681-1881,0000,03,3,1000,200705,1,15,000000000,1,01,201806,4,3,01,0,06,449472,88234,88234,L21,
660674866,LA CASA DE AMPI INC,% ESTHER CARO,PO BOX 1891,MAYAGUEZ,PR,00681-1891,0000,03,3,1000,200610,1,15,000000000,1,01,201906,4,4,01,0,06,464110,105441,105441,L800,
660675303,ST PAULS EPISCOPAL CHURCH,,PO BOX 50661,SAIPAN,MP,96950-0000,3741,03,9,7000,194001,2,10,000000000,5,01,,0,0,06,0,12,,,,,
660675334,IGLESIA DE DIOS PENTECOSTAL MI SEDE INTERNACIONAL CORP,,PO BOX 360455,SAN JUAN,PR,00936-0455,0000,03,3,7000,201711,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
660675369,MISIONES IDPMI SEDE INTERNACIONAL CORP,% RAYMOND E RIVERA MARTINEZ,PO BOX 360455,SAN JUAN,PR,00936-0455,0000,03,3,1700,201710,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
660675418,EUROPEAN CHRISTIAN LEADERSHIP ACADEMY INC,% ABRAHAM MALDONADO,PO BOX 50571,TOA BAJA,PR,00950-0571,0000,03,3,1000,200706,1,16,000000000,1,01,201912,1,3,01,0,12,5991,98119,98119,X20,
660675458,IGLESIA PENTECOSTAL DE ROSARIO INC,% CALLE NESTOR TORRES,PO BOX 1810 PMB 726,MAYAGUEZ,PR,00681-1810,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,03,,,,,
660675963,PUERTO RICO SCIENCE TECHNOLOGY AND RESEARCH TRUST,% SEC OF ECOMONIC DEVELOPMENT & COM,PO BOX 363475,SAN JUAN,PR,00936-3475,0000,03,3,1000,201401,1,15,000000000,2,01,201806,9,8,14,0,06,115682560,22996445,22996445,U05,
660676797,CHARITY AND HOPE MINISTRIES,,PAGO PAGO AS 96799,AUSTRALIA,,00000-0000,0000,03,3,1000,200701,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,,
660676942,ASISTENCIA LEGAL Y CONTRIBUTIVA DE PUERTO RICO INC,% JO NANCY CRUZ RIVERA,F9 CALLE CASTILLA,BAYAMON,PR,00956-2771,0000,03,3,1200,200705,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,I80,
660676948,HOME FOR THE ELDERLY LAS CARMELITAS CORP,% JOSE L MEDIAVILLA,PO BOX 11952,SAN JUAN,PR,00922-1952,0000,03,3,1000,200808,1,15,000000000,1,01,201812,1,0,02,0,12,1,0,0,L22,
660677602,FIRST ASSEMBLY OF GOD,,PO BOX 716,CHRISTIANSTED,VI,00821-0716,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,03,,,,,
660677722,GUAM BAPTIST ASSOCIATION,% ED POPPE,1196 N MARINE CORPS DR,TAMUNING,GU,96913-4340,1606,03,9,7000,196311,1,10,036000000,5,01,,0,0,06,0,12,,,,,
660677927,LIVING HOPE CATHEDRAL INC,% CARL A RICHARDSON,PO BOX 307266,ST THOMAS,VI,00803-7266,0000,03,3,7000,201304,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
660678124,COMUNIDAD DIVIFORIA INC,% JOSE O CITRONE LOPEZ,CARR 771 KM 9 HM 9,COROZAL,PR,00783-0000,0000,03,3,1000,201911,1,16,000000000,1,01,,0,0,02,0,12,,,,W80,
660678301,MINISTEREO AYUDANDO A LOS OLVIDADOS INC,,CALLE 9G2 URB VILLA COOPERATIVA,CAROLINA,PR,00985-0000,0000,03,3,7000,201507,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
660678912,CORTES FOUNDATION INC,% GREGORIO CORTES,PO BOX 16871,SAN JUAN,PR,00908-6871,0000,03,3,1000,200901,1,15,000000000,1,01,202006,0,0,02,0,06,0,0,0,Q33,
660679419,RAMEY SOCCER CLUB INC,% EDGAR RAVAZENEYR ESPEHEL,HANGAR ROAD,RAMEY,PR,00604-0000,0000,03,3,1200,201907,1,16,000000000,1,01,,0,0,02,0,12,,,,N64,
660679592,AMERICAN SAMOA COMMUNITY CANCER COALITION,% VAATAUSILI T TOFAEONO,PAGO PAGO 96799,AMERICAN SAMOA,,00000-0000,0000,03,3,1000,201401,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,P20,
660679596,LIFE IN THE SON CHRISTIAN FELLOWSHIP,% CHERLYN CABRERA,PO BOX 504295,SAIPAN,MP,96950-4295,0000,03,3,7000,200810,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
660680483,CARIBBEAN K9 & RESCUE DIVER,% JOSE D MALDONADO AVILA,URB VILLA SERENA Q 16 CALLE LIRIO,ARECIBO,PR,00612-0000,0000,03,3,6000,201603,1,16,000000000,1,01,201712,1,1,02,0,12,4405,2955,2955,M23,CARIBBEAN K9 RESCUE DIVER TEAM CORP
660681446,FUNDACION ALAS A LA MUJER INC,,PO BOX 360205,SAN JUAN,PR,00936-0205,0000,03,3,1000,201408,1,15,000000000,1,01,201906,4,4,01,0,06,100970,308181,308181,P50,
660682351,PRIMERA IGLESIA ASAMBLEAS DE DIOS,% RAFAEL ORTIZ MARRERO,PO BOX 1751,COROZAL,PR,00783-1751,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,12,,,,,
660682852,MISSIONS CONNECTION MINISTRY,% MARIO NUESTRO,PMB 943 BOX 100005 STE 101,SAIPAN,MP,96950-0000,0000,03,3,7000,201109,1,10,000000000,1,01,,0,0,06,0,06,,,,X20,
660682962,ST THOMAS COMMUNITY BAPTIST CHURCH INC,% HEATH F CHARLES,PO BOX 305173,CHARLOTTE AMA,VI,00803-5173,0000,03,3,7000,201105,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
660683333,TICATOVE INC,% JULIAN GARCIA MARTINEZ,PO BOX 217,VIEQUES,PR,00765-0217,0000,03,3,1000,201708,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,C30,
660683500,ENTRELAZANDO SUENOS INC,% NESTOR J JIMENEZ,URB VILLA NEVARES,SAN JUAN,PR,00927-0000,0000,03,3,1000,200907,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,E12,
660683616,TABERNACULO DE ADORACION CIUDAD DE DIOS,% RAFAEL JIMENEZ MOCINA,HC-03 BOX 5941,HUMACAO,PR,00791-0000,2046,03,9,7000,196911,1,10,001000000,5,01,,0,0,01,0,12,,,,,
660683993,THE ST CROIX AVIAN SANCTUARY INC,% ANTONIA O LANCE,PO BOX 755,CHRISTIANSTED,VI,00821-0755,0000,03,3,2000,201412,1,16,000000000,1,01,201912,0,0,02,0,12,0,0,0,D20,
660684038,CENTRO EDUCATIVO Y DE DESARROLLO INTEGRAL ANGELES DE LA ESPERANZA,% EMMA ROCHE AGUIRRE,CALLE 4 196 BO OLLAS,SANTA ISABEL,PR,00757-0000,0000,03,3,1200,200904,1,15,000000000,1,01,201912,0,0,02,0,12,0,0,0,O50,
660684194,AMERICAN CHEMICAL SOCIETY,% DR JORGE L COLON,17 AVE UNIVERSIDAD STE 1701,SAN JUAN,PR,00925-2537,0945,03,9,2800,194605,1,16,059061120,5,01,201912,0,0,02,0,12,0,0,0,,PUERTO RICO SECTION
660684411,ASOCIACION PARA EL MEJORAMIENTO INSTITUCIONES GUIADAS ORIENTADAS,% JUAN A ROJAS,67 CALLE CRISTOBAL COLON,ARECIBO,PR,00612-4706,0000,03,3,1000,201407,1,15,000000000,1,01,201912,3,4,01,0,12,26929,158079,158079,P30,AMIGOS
660684740,MILITARY ORDER OF THE PURPLE HEART OF THE USA,% PEDRO L CORUJO,PO BOX 250322,AGUADILLA,PR,00604-0322,1495,19,9,1000,196008,2,00,000000000,5,01,202004,0,0,02,0,04,0,0,0,,660 CHAPTER
660685059,SADHU VASWANI CENTER - V I INC,% SMOCK & MOOREHEAD,PO BOX 1498,ST THOMAS,VI,00804-1498,0000,03,3,7000,200801,1,10,000000000,1,01,201912,0,0,06,0,12,0,0,0,X70,
660685941,FUNDACION CAF,,PMB 9023565,SAN JUAN,PR,00902-0000,0000,03,3,1200,201408,1,15,000000000,1,01,201812,4,4,01,0,12,276328,381259,381259,E86,
660685960,IGLESIA CRISTIANA MISIONERA A LOS PIES DE CRISTO,% MARIA GONZALEZ,PO BOX 1246,QUEBRADILLAS,PR,00678-1246,0000,03,3,7000,202005,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
660686016,THE INICIATIVA TECNOLOGICA DEL NORESTE INC,% MARIA SOCORRO DIAZ,PO BOX 2010,CAROLINA,PR,00984-2010,0000,03,3,1200,200803,1,15,000000000,1,01,201806,4,1,02,0,06,189245,3442,3442,U19,
660686587,GUAM COALITION AGAINST SEXUAL ASSAULT AND FAMILY VIOLENCE CORP,% MONICA TAIMANGLO PRESIDENT,204 HESLER PL STE 101B/102B,HAGATNA,GU,96910-5091,0000,03,3,2100,201403,1,15,000000000,1,01,201812,3,5,01,0,12,55549,775071,775071,I73,
660686993,FEDERACION PUERTORRIQUENA DE FUTBOL,% JOSE SERRALPA,PO BOX 367567,SAN JUAN,PR,00936-7567,0000,03,3,1200,202006,1,15,000000000,1,01,,0,0,01,0,12,,,,N65,
660687181,ASOCIACION LATINOAMERICANA DE OPTOMETRIA Y OPTICA,% JUAN M VAZQUEZ,PO BOX 9192,CAGUAS,PR,00726-9192,0000,03,3,1000,202005,1,04,000000000,1,01,,0,0,00,1,12,,,,E19,
660687194,COLEGIO CATOLICO NOTRE DAME CORP,% JOSE J GRILLO,URB BORINQUEN CALLE SANTIAGO FINAL,CAGUAS,PR,00725-0000,0000,03,3,2000,201009,1,11,000000000,1,01,201806,8,8,01,0,06,13915622,10763655,9942607,B25,
660687232,YVONNE ASHLEY GALIBER FOUNDATION - YAG INC,% YVONNE GALIBER,PO BOX 356,CHRISTIANSTED,VI,00821-0356,0000,03,3,1000,200802,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,G12,GIGIS TREASURE CHEST
660687687,CENTRO AMBULATORIO DE DESINTOXICACION Y ENLACE DE PR INC,% MARTIN SCAMARONI,PO BOX 2000 PMB 10,MERCEDITA,PR,00715-8000,0000,03,3,1000,201604,1,12,000000000,1,01,201912,3,2,02,0,12,34375,18661,18661,E20,CADE DE P R
660687872,ACUEDUCTO COMUNAL BARRANCAS CENTRO INC,% JUAN CARLOS COLON RIVERA,HC 2 BOX 6274,BARRANQUITAS,PR,00794-9702,0000,03,3,1000,201811,1,15,000000000,1,01,,0,0,02,0,12,,,,W80,
660688397,BMW CAR CLUB OF AMERICA INC,% RAMON A VELEZ,PO BOX 192033,SAN JUAN,PR,00919-2033,5390,07,9,1000,200702,2,00,000000000,1,01,201912,0,0,02,0,12,0,0,0,,PUERTO RICO CHAPTER
660688514,IGLESIA AVANZADA DE SION,% NIVIA PEREZ MEZINA,PO BOX 371953,CAYEY,PR,00737-1953,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,12,,,,,
660688720,COOPERATIVA DE SERVICIOS INTEGRADOS A LA NINEZ COSIANI,% DE MARIE VALENTIN,PO BOX 969,SAINT JUST,PR,00978-0969,0000,03,3,1000,201405,1,15,000000000,1,01,201812,4,4,01,0,12,130591,341547,341547,B90,COSIANI
660688768,MISION ROCA ETERNA,,PO BOX 1790,CIDRA,PR,00739-1790,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,12,,,,,AGUAS BUENAS
660688878,ST CROIX MAJORETTES INC,% DIANA GARCIA,PO BOX 8070,ST CROIX,VI,00823-8070,0000,03,3,1000,201611,1,16,000000000,1,01,201712,0,0,02,0,12,0,0,0,N60,
660688974,THE FORUM INC,% BRIAN SQUIRES,PO BOX 12030,ST THOMAS,VI,00801-5030,0000,03,3,1200,201207,1,16,000000000,1,01,201912,3,4,01,0,12,48165,118695,118695,A24,
660690379,UNION DE TRABAJADORES DE HACIENDA UAW LOCAL 2373 INC,,3100 CARR 190 STE 201,CAROLINA,PR,00983-1983,0000,05,3,3000,202006,2,00,263000000,5,01,201812,1,4,01,0,12,7894,222490,222490,,
660690686,IGLESIA CRISTIANA AD BAYAMON GARDEN STATION,% JOEL F CHEVRES,PO BOX 3591,BAYAMON,PR,00958-0591,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,03,,,,,
660690932,CENTRO DE EMBAJADORES EN CABO ROJO INC,% EUGENIO AMBERT MAGALLON,PO BOX 5103 PMB,CABO ROJO,PR,00623-5103,0000,03,3,7100,201105,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
660691947,NAGUAKE COMMUNITY-SCHOOL SURVIVAL,% CARLALYNNE MELENDEZ,X9 CALLE BISCAYNE,BAYAMON,PR,00956-4908,0000,03,3,2000,200811,1,15,000000000,1,01,201812,0,0,02,0,12,0,0,0,A80,
660692000,CORPORACION PARA LA CONSERVACION ETNOECOLOGICA CRIOLLA INC,% LUIS VAZGUEZ GARCIA ESQUIRE,PMB 115 BOX 4956,CAGUAS,PR,00726-0000,0000,03,3,1000,201410,1,15,000000000,1,01,201806,6,5,01,0,06,1664093,554156,554156,C36,
660692042,ASOCAGUAS INC,% FRANCISCO J MENDEZ,L6 CALLE SAN RAMON,CAGUAS,PR,00725-6426,0000,04,3,3000,201201,2,00,000000000,1,01,201812,0,0,02,0,12,0,0,0,W80,HC 04 BOX 46818
660692095,ESPACIO A3 INC,% GINNETTE MARXUACH,PO BOX 9021512,SAN JUAN,PR,00902-1512,0000,03,3,2000,201803,1,11,000000000,1,01,201907,3,4,01,0,07,98433,267136,267136,B24,
660692390,IGLESIA EVANGELICA DE ADORACION Y CENTRO,% MARISOL RODRIGUEZ DIAZ,HC 4 BOX 45429,CAGUAS,PR,00727-9656,2046,03,9,7000,196911,1,10,001000000,5,01,,0,0,06,0,12,,,,,
660692809,PARENTERAL DRUG ASSOCIATION INC,% WALLACE TORRES,88 CALLE ESMERALDA,DORADO,PR,00646-4603,3390,06,9,1000,199412,2,00,229123120,1,01,201912,0,0,02,0,12,0,0,0,,PUERTO RICO CHAPTER
660693185,COMUNIDAD ASOMANTE SECCION II INC,,CARR 921 RAMAL 9921 INT,LAS PIEDRAS,PR,00771-0000,0000,03,3,1600,201811,1,16,000000000,1,01,,0,0,02,0,12,,,,W80,
660693680,PROYECTO VIDAS INC,% JUAN I COLON,PO BOX 775,SAINT JUST,PR,00978-0775,0000,03,3,1200,200902,1,15,000000000,1,01,201912,2,3,02,0,12,22071,26794,26794,P30,
660694241,TUSKEGEE AIRMEN INC,% CARMEN C HEYWOOD,PO BOX 26415,CHRISTIANSTED,VI,00824-2415,5061,03,9,1000,198410,1,15,998000000,1,01,201912,0,0,02,0,12,0,0,0,Y40Z,VIRGIN ISLAND CHAPTER
660695186,EGIDA METROPOLITANA INC,% ABIGAIL RODRIGUEZ,908 STREET 1 SE REPARTO METROPOLITA,SAN JUAN,PR,00921-0000,0000,03,3,1000,201910,1,03,000000000,1,01,201912,3,1,00,1,12,86298,44,,L21,
660696410,IGLESIA CASA DE RESTAURACION PR INC,% JOANNA COLON COLLAZO,197 CALLE COCO PLUMOROSO,BAYAMON,PR,00956-9250,2046,03,9,7000,196911,1,10,000000000,5,01,,0,0,06,0,12,,,,,
660696668,HOGAR SUSTITUTO ROSANNA CORP,% URB SANTA TERESITA,2151 CALLE TENIENTE LAVERGNE,SAN JUAN,PR,00913-4510,0000,03,3,1000,201510,1,04,000000000,1,01,201812,5,5,00,1,12,680833,638171,638171,L41,
660697838,FUNDACION OE-INNOVATIVE TECHNOLOGY FOR EDUCATION INC,,PO BOX 9844,SAN JUAN,PR,00908-0844,0000,03,3,1000,200801,1,04,000000000,1,01,201906,3,5,00,1,06,25865,533410,,U41,
660698326,FUNDACION HERENCIA PRESBITERIANA EN PUERTO RICO INC,,201 COND MED CTR PLZ 740 AVENIDA HO,MAYAGUEZ,PR,00682-0000,1617,03,9,7000,196401,1,10,001029000,5,01,,0,0,06,0,12,,,,,
660698414,COBIMET INC,% UNIVERSIDAD DE SAGRADO CORAZON,PO BOX 2037,BAYAMON,PR,00960-2037,0000,03,3,1000,201909,1,16,000000000,1,01,201912,4,4,01,0,12,480492,301684,301684,B70,
660699305,FUNDACION EL ANGEL DE MIGUEL COTTO INC,% MIGUEL A COTTO CARRASQUILLO,PO BOX 5160,CAGUAS,PR,00726-5160,0000,03,3,1000,201506,1,16,000000000,1,01,201812,4,2,02,0,12,179130,15888,15888,P20,
660699365,TRUST FOR VIRGIN ISLANDS LANDS INC,% CARL TESITOR JR,PO BOX 25842,CHRISTIANSTED,VI,00824-1842,0000,03,3,1000,201408,1,15,000000000,1,01,201912,6,3,01,0,12,2430163,55616,55616,C30,
